Code,일련번호,품번,시험일자,운용월,Dataset,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
B,SN_A_5260,P12345,2023-06-01,102,ASRP,100.2196,98.6033,98.3866,100.2398,102.1871,100.3447,96.1988,97.5766,101.5708,100.2717,100.4164,102.2115,101.9376,103.6382,97.7866,97.8649,101.6725,97.5945,98.6326,98.5386,97.947,97.0797,98.212,96.8365,91.7451,100.193,97.2684
B,SN_A_1762,P12345,2023-06-01,102,ASRP,99.0682,98.7335,99.49,100.8774,98.6939,97.1114,97.5078,99.9008,100.0885,99.8319,101.2585,100.7655,98.894,97.0432,98.8111,95.0788,98.4568,100.2764,96.9834,99.7516,99.143,99.8364,93.9829,99.8385,100.7133,101.5525,96.1349
B,SN_A_6816,P12345,2023-06-01,102,ASRP,98.9757,98.3055,99.0261,101.7883,98.3327,100.2844,101.8767,99.7721,100.5101,100.0249,102.1617,101.5608,100.2392,103.1949,101.2303,101.7064,96.8864,100.18,100.3696,96.9062,99.1612,98.8453,91.9032,96.5568,97.6703,98.2605,100.3378
B,SN_A_2057,P12345,2023-06-01,102,ASRP,99.5368,100.4805,95.9626,99.7767,98.4718,99.2975,100.2859,101.9534,97.4349,101.1661,97.4861,98.9072,104.9869,99.7004,99.8445,99.1089,96.3384,101.7307,99.289,97.907,99.7223,97.1642,88.7423,98.1548,99.8403,99.3596,97.7239
B,SN_A_2617,P12345,2023-06-01,102,ASRP,97.557,101.5213,102.0228,101.2559,97.0513,99.7542,98.5272,100.1113,102.2033,102.7392,96.6498,100.3491,102.7628,101.3092,101.3688,100.8242,98.6964,101.8256,100.9211,98.7613,98.2294,101.2654,91.0639,94.5382,96.3402,97.8748,102.4675
B,SN_A_2732,P12345,2023-06-01,102,ASRP,102.3404,100.5321,96.326,101.6046,97.7017,101.1763,101.9752,99.2474,100.6022,99.6009,98.3258,101.9202,103.0396,99.2703,96.7169,101.8703,96.0626,98.7953,101.734,100.3061,101.1637,100.3083,93.058,91.4571,91.2156,99.4919,98.6013
B,SN_A_1760,P12345,2023-06-01,102,ASRP,100.3785,102.1913,98.8738,100.1758,103.3085,100.2168,101.8063,97.6396,99.6613,101.1728,95.5876,100.7686,99.0151,98.9915,100.4217,99.2517,101.0254,99.3399,101.7227,100.8711,100.1975,101.3465,98.3781,100.7953,102.0028,101.7428,98.4878
B,SN_A_8252,P12345,2023-06-01,102,ASRP,96.293,97.7766,97.8265,100.5612,97.9985,95.3507,100.6027,98.0435,100.9113,96.5782,99.6338,100.1177,101.081,97.5258,97.3616,100.1917,100.0661,98.5125,102.4385,95.9423,100.9135,101.6141,91.5771,96.0161,97.3566,91.5051,100.7435
B,SN_A_1658,P12345,2023-06-01,102,ASRP,98.9761,99.8925,101.6019,99.3404,98.6473,97.512,98.8984,102.2438,98.8281,101.4436,101.9123,95.1366,104.4342,99.215,97.6392,97.083,97.9915,97.5022,96.3866,98.8274,99.2011,99.7775,93.9408,93.8011,99.1408,99.8457,102.1645
B,SN_A_6199,P12345,2023-06-01,102,ASRP,97.7654,103.2606,100.4517,103.1767,101.1108,102.8912,99.7147,101.0317,98.8046,98.1688,99.897,101.771,98.4951,100.0811,99.8706,102.8162,100.9005,100.4348,100.8485,96.5888,99.6132,102.2882,90.2837,97.52,97.2271,100.765,97.9209
B,SN_A_1784,P12345,2023-06-01,102,ASRP,97.4837,98.329,101.5815,103.9694,102.6767,97.2885,99.2511,101.7049,99.4369,100.326,97.0536,99.183,102.8281,102.808,102.2163,94.4447,100.6721,102.2524,99.0342,101.3918,99.5872,96.2103,96.4576,94.0219,99.6948,94.9994,95.9088
B,SN_A_2568,P12345,2023-06-01,102,ASRP,102.7926,100.4723,100.2397,98.9566,103.3619,101.2011,98.467,99.78,97.356,100.3825,96.7905,97.1852,102.5631,99.7292,99.5069,98.2117,98.5083,102.7188,97.0423,102.4885,101.5878,96.8184,99.1995,97.7094,96.3502,102.3562,100.0934
B,SN_A_3673,P12345,2023-06-01,102,ASRP,99.1302,101.4695,98.8841,97.0569,99.253,101.4612,102.1402,100.0399,104.5424,100.5122,100.0021,99.9463,100.6553,100.1061,95.2282,97.9686,100.2336,98.8474,103.5705,97.4227,96.4987,98.1453,93.9508,94.9715,101.3137,101.9287,98.4963
B,SN_A_7482,P12345,2023-06-01,102,ASRP,100.28,98.2356,101.6164,99.3612,102.1722,100.1149,101.5767,100.045,98.3315,99.1109,98.9647,99.7083,97.233,102.0873,100.7912,96.1387,99.6696,98.6829,97.3915,99.2665,100.5572,100.0172,95.0057,91.5241,97.9359,99.2732,100.4718
B,SN_A_8143,P12345,2023-06-01,102,ASRP,102.0636,98.495,98.2124,100.8984,102.0924,101.0016,101.0133,98.9833,99.9482,97.6277,99.1406,96.5155,102.6209,96.9785,102.2234,100.8855,100.0895,97.9123,102.9905,100.8849,99.9023,99.491,94.6513,100.7194,100.3676,94.7501,99.8692
B,SN_A_6385,P12345,2023-06-01,102,ASRP,101.0064,100.428,99.434,97.9189,99.5856,99.8541,100.0606,101.6433,101.2486,101.8581,101.717,100.5827,97.4218,96.9118,101.6849,98.9724,102.8536,97.8509,101.2186,101.4005,98.7473,97.3914,92.8022,92.0627,96.6646,92.085,99.2373
B,SN_A_8601,P12345,2023-06-01,102,ASRP,101.5529,102.3017,97.9067,95.2763,99.3178,103.2266,99.9873,99.1219,101.9185,99.5286,100.832,100.6812,97.4569,100.5521,97.6536,99.8031,99.7144,98.5143,96.5988,95.3156,97.2927,95.4152,96.1549,95.2665,97.3797,95.2836,101.163
B,SN_A_2358,P12345,2023-06-01,102,ASRP,102.3377,101.3799,99.887,99.2848,99.9738,104.3295,99.9075,98.3686,102.9206,100.6569,97.7794,102.8472,97.4784,98.9106,102.3195,100.4141,98.9329,99.8565,98.1608,103.5667,99.4101,99.4505,92.3625,96.0923,95.4303,100.2449,94.7224
B,SN_A_1199,P12345,2023-06-01,102,ASRP,103.8544,103.884,93.5213,97.2476,100.3862,101.785,101.7808,99.0846,99.5423,103.2172,101.1363,101.075,95.797,100.0649,99.5116,104.2044,100.9439,101.409,101.6988,101.7266,97.5323,95.6406,96.348,87.1018,93.0898,96.9487,91.7502
B,SN_A_7090,P12345,2023-06-01,102,ASRP,101.2863,101.6269,101.0155,100.1092,97.9765,103.3326,102.14,99.5865,99.35,101.7089,101.0487,99.4155,99.3498,98.8771,102.0876,98.8861,104.7623,93.5455,102.4744,98.7415,101.9434,98.124,96.613,94.2438,96.989,95.7976,101.2585
B,SN_A_2314,P12345,2023-06-01,102,ASRP,101.4225,99.7089,101.6328,97.0464,97.3414,96.998,95.8074,98.9521,100.2367,97.8389,99.2295,96.274,97.801,99.9862,96.7324,96.5515,98.7452,97.8091,99.3932,96.2145,102.2109,97.0273,96.8139,95.8621,98.9432,99.1973,98.6022
B,SN_A_4281,P12345,2023-06-01,102,ASRP,103.0781,101.1435,99.0623,98.3149,98.558,101.445,102.8175,101.8906,100.6056,99.4763,100.5494,100.5267,100.6638,101.0248,98.5238,99.3843,99.2681,102.4504,96.5942,99.4628,101.016,100.4614,93.488,98.7323,97.2928,99.5542,102.9694
B,SN_A_7659,P12345,2023-06-01,102,ASRP,99.206,102.5795,101.3316,100.5603,100.8852,99.6716,100.7228,99.1303,101.4925,96.1999,100.7839,101.602,98.3139,98.0074,97.8826,100.5963,100.1875,102.4515,98.7223,95.2527,99.4913,96.1011,93.3957,93.261,98.9379,104.3655,100.5044
B,SN_A_5102,P12345,2023-06-01,102,ASRP,96.5909,100.2959,98.4034,99.6179,99.0511,101.4467,102.9008,99.8132,98.3858,99.7405,99.9312,98.2097,99.6886,96.8174,103.8115,101.097,101.1223,97.6869,103.3623,99.4714,98.7007,101.3311,96.4569,97.4578,97.6717,99.3642,94.6147
B,SN_A_7540,P12345,2023-06-01,102,ASRP,100.8016,95.7679,100.4584,100.7357,101.5456,95.7462,102.7192,98.1176,103.98,95.0107,101.2771,98.6375,97.3401,99.3287,97.5456,99.6816,100.8318,100.0326,99.4947,101.9133,99.354,102.295,98.0871,90.24,92.8698,93.6163,103.354
B,SN_A_5141,P12345,2023-06-01,102,ASRP,98.7121,99.6162,98.7656,101.1908,97.3294,101.2357,98.837,97.7381,103.385,96.3306,102.4859,101.2936,98.9893,101.1961,97.6164,100.428,99.5425,98.6941,97.9072,97.943,99.3493,96.4778,97.2721,97.5291,92.984,100.2353,94.8397
B,SN_A_7362,P12345,2023-06-01,102,ASRP,97.1479,100.323,98.9895,102.0894,100.3112,100.2578,99.5085,97.3452,101.5995,101.0573,100.5546,101.6407,97.4287,100.0857,101.0344,100.5042,102.2448,101.3797,100.4788,100.4995,101.3443,98.8848,94.3262,94.8812,100.973,103.1407,104.1416
B,SN_A_9934,P12345,2023-06-01,102,ASRP,102.4182,99.7046,100.4393,101.3759,100.7345,98.0366,102.3086,97.7022,97.7381,98.0649,99.8302,100.747,100.2457,99.6749,97.6927,97.4659,101.1285,95.4537,100.8439,97.8588,96.7331,101.2579,94.9986,92.4782,94.9012,100.8414,100.5916
B,SN_A_6986,P12345,2023-06-01,102,ASRP,101.8904,101.7916,101.0293,97.5978,102.0765,98.4587,99.1975,100.3015,101.7735,101.7364,99.493,102.7055,100.5636,99.6375,101.242,101.4238,101.0736,102.401,101.5452,98.6427,103.6524,100.2793,97.002,96.5557,97.8322,97.2739,96.2639
B,SN_A_2386,P12345,2023-06-01,102,ASRP,99.061,95.9492,98.0536,99.3195,101.7833,95.8003,99.6781,100.0431,101.6292,101.8038,100.8577,98.5959,99.616,100.4765,100.9298,98.0669,101.1171,100.6344,98.331,100.8612,100.9445,102.9252,100.1279,96.7317,94.3507,97.2963,96.1771
B,SN_A_8713,P12345,2023-06-01,102,ASRP,99.7688,100.9533,100.4584,100.7749,101.0046,97.5783,96.8448,97.386,103.8813,98.9934,99.061,99.4073,99.2394,97.3508,99.7931,99.6347,103.2615,99.9162,100.9216,99.2537,99.753,100.7081,93.9585,94.0958,95.2675,99.0702,99.4296
B,SN_A_5464,P12345,2023-06-01,102,ASRP,99.3859,98.2456,98.5607,100.1006,100.003,99.3292,98.2072,100.5715,96.0665,97.0897,99.4544,101.9705,96.0487,103.0863,101.1208,97.2414,102.5293,102.2289,97.3882,100.5426,98.0773,97.3381,93.7206,96.5243,99.8669,97.3116,98.4774
B,SN_A_3566,P12345,2023-06-01,102,ASRP,99.7059,97.4523,95.2874,103.2389,102.8401,100.0738,102.5976,100.5147,96.5596,102.2899,99.6161,100.8823,101.3361,102.2346,99.8938,104.581,102.0227,101.9318,96.0148,100.8858,102.2957,99.1162,92.9045,98.3977,97.6705,101.1942,99.6162
B,SN_A_2507,P12345,2023-06-01,102,ASRP,96.0057,98.3836,104.409,101.3604,101.4534,101.0384,99.8349,99.1864,98.9297,98.7326,101.852,98.091,101.2089,97.2765,101.8814,98.2475,97.0048,99.8743,98.3057,96.484,99.279,102.1752,93.5569,95.0275,105.3834,97.89,102.6548
B,SN_A_6936,P12345,2023-06-01,102,ASRP,103.1697,99.6701,98.0536,103.3741,95.2125,100.1468,104.7331,101.2952,102.0063,97.9393,102.8799,100.3323,101.9189,101.1571,98.5767,102.5381,102.2011,101.0015,98.2514,97.2892,103.3917,103.4823,94.3764,98.1099,97.3399,97.6806,93.3085
B,SN_A_2605,P12345,2023-06-01,102,ASRP,102.2623,98.4545,100.1301,101.2728,101.6524,100.4691,101.019,101.823,98.2948,100.4802,101.1219,96.0218,100.4758,98.5867,98.0599,96.9097,96.3875,101.2803,93.9104,99.1566,99.6249,100.1894,97.1914,98.893,88.7106,97.7306,99.5722
B,SN_A_7071,P12345,2023-06-01,102,ASRP,100.8085,101.7251,97.3783,102.3663,96.7598,99.5654,98.2379,102.308,101.7375,101.3194,102.3282,101.148,102.2582,105.0954,100.805,98.5732,100.9147,101.756,100.7395,98.742,103.1213,101.8667,92.1444,88.771,98.8488,99.448,106.8074
B,SN_A_4315,P12345,2023-06-01,102,ASRP,102.0716,100.097,101.0845,98.7184,100.0932,99.2071,98.6337,98.9347,100.809,101.0623,100.2982,98.6748,98.8247,102.3616,101.093,98.8409,99.8229,101.2811,98.2142,96.4501,102.4997,97.5692,98.7682,98.9966,100.1279,95.1872,98.5979
B,SN_A_2461,P12345,2023-06-01,102,ASRP,100.8734,102.2494,100.0748,98.3298,102.5539,99.4501,97.7756,96.134,99.8544,100.2609,98.3004,100.498,99.8333,95.9101,99.4307,100.1783,102.9702,98.6146,98.8015,100.9827,98.8837,102.1094,90.2224,98.0383,95.6387,100.6241,102.1863
B,SN_A_6825,P12345,2023-06-01,102,ASRP,100.6942,100.1722,101.0608,104.6342,95.8333,99.3691,101.4059,99.0549,96.5906,99.5811,104.3889,97.6724,98.3885,98.8366,100.2318,100.9345,101.192,100.9617,103.7252,100.8757,96.7961,102.4773,94.7323,95.3993,98.8188,97.615,97.2848
B,SN_A_4644,P12345,2023-06-01,102,ASRP,99.1049,103.073,99.6635,101.9275,98.5781,101.4993,99.7897,100.7261,101.1971,97.6607,96.8784,99.7847,99.1641,97.5796,96.5495,98.631,99.1332,97.607,98.0189,99.8203,97.6077,100.2286,99.0517,100.4026,97.9884,97.2639,100.3074
B,SN_A_3587,P12345,2023-06-01,102,ASRP,98.8321,96.6301,100.2159,99.7814,98.8345,98.0175,100.5481,101.4477,98.0386,97.7301,100.0831,105.6478,100.3757,100.7244,98.8119,98.9049,102.1125,102.6168,99.7657,97.3833,101.3657,99.2802,97.6291,89.2212,97.9839,95.1411,100.9522
